# 資料庫版本: 2021-08-22
道字典字號	道漢字音粵語音典字號	頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	韻母組	粵拼讀音	字頭	(輔助檢索用異體)	釋義	釋義本作「同上」	校訂註
D1904	B12M10	19	j	ung	4	4	ung	jung4	絨		～線，～布		
D1905	B12M08	19	j	ung	4	4	ung	jung4	庸		平常。又用也		
D1906	B12M12	19	j	ung	4	4	ung	jung4	傭		～工		
D1907	B12M21	19	j	ung	4	4	ung	jung4	融		通～，～和		
D1908	B12M24	19	j	ung	4	4	ung	jung4	鎔		鑄～，～鐵		
D1909	B12M27	19	j	ung	5	5	ung	jung5	勇		強壯也		
D1910	B12M28	19	j	ung	6	6	ung	jung6	用		使～，作～		
D1911	B12M29	19	j	ung	6	6	ung	jung6	佣		介紹之酧金也		
D1912	B12N04	19	j	uk	1	7	ung	juk1	郁		濃香也，文雅也		
D1913	B12N02	19	j	uk	1	7	ung	juk1	沃		肥～		
D1914	B12N08	19	j	uk	1	7	ung	juk1	毓		孕～		
D1915	B12N16	19	j	uk	6	9	ung	juk6	肉		肌～		
D1916	B12N17	19	j	uk	6	9	ung	juk6	育		生～，養～		
D1917	B12N18	19	j	uk	6	9	ung	juk6	辱		羞～，恥～		
D1918	B12N20	19	j	uk	6	9	ung	juk6	欲		愛也，想也		
D1919	B12N15	19	j	uk	6	9	ung	juk6	玉		～石，寶～		
D1920	B12N19	19	j	uk	6	9	ung	juk6	浴		洗身		
D1921	B12N27	19	j	uk	6	9	ung	juk6	獄		監～		
D1922	B12N28	19	j	uk	6	9	ung	juk6	褥		墊～，牀～		
D1923	B12N29	19	j	uk	6	9	ung	juk6	慾		人情所好		
D1924	B12O02	19	g	ung	1	1	ung	gung1	工		～匠，～夫。又巧也		
D1925	B12O03	19	g	ung	1	1	ung	gung1	公		～正，～共，～婆		
D1926	B12O04	19	g	ung	1	1	ung	gung1	功		～勞，～業		
D1927	B12O01	19	g	ung	1	1	ung	gung1	弓		～箭		
D1928	B12O11	19	g	ung	1	1	ung	gung1	宮	宫	～殿，皇室		
D1929	B12O06	19	g	ung	1	1	ung	gung1	攻		～擊，責備		
D1930	B12O12	19	g	ung	1	1	ung	gung1	躬		身也		
D1931	B12O10	19	g	ung	1	1	ung	gung1	蚣		蜈～		
D1932	B12O13	19	g	ung	1	1	ung	gung1	恭		～喜，～敬		
D1933	B12O08	19	g	ung	1	1	ung	gung1	供		～給		
D1934	B12O07	19	g	ung	1	1	ung	gung1	芎		川～，藥名		
D1935	B12O19	19	g	ung	2	2	ung	gung2	拱		兩手合持曰～		
D1936	B12O24	19	g	ung	2	2	ung	gung2	鞏		～固		
D1937	B12O26	19	g	ung	3	3	ung	gung3	貢		～獻，～稅		
D1938	B12O28	19	g	ung	3	3	ung	gung3	贛		江西省名		
D1939	B12P02	19	g	ung	6	6	ung	gung6	共		～同，合～		
D1940	B12Q01	19	g	uk	1	7	ung	guk1	谷		山～，～米		
D1941	B12Q10	19	g	uk	1	7	ung	guk1	菊		～花		
D1942	B12Q13	19	g	uk	1	7	ung	guk1	穀		～米		
D1943	B12Q20	19	g	uk	1	7	ung	guk1	鞠		～躬		
D1944	B12Q21	19	g	uk	1	7	ung	guk1	鵠		禾～，鴻～，～的		
D1945	B12Q28	19	g	uk	6	9	ung	guk6	局		時～，郵～		
D1946	B12Q29	19	g	uk	6	9	ung	guk6	侷		～促，不安也		
D1947	B12R10	19	k	ung	4	4	ung	kung4	窮		貧～		
D1948	B12S01	19	k	uk	1	7	ung	kuk1	曲		委～，不直也		
D1949	B12S02	19	k	uk	1	7	ung	kuk1	旭		日初出貌		
D1950		19	k	uk	1	7	ung	kuk1	朂		勉也		
D2001	B13A01	20	ng	uk	1	7	ung	nguk1	屋		～舍		
D2002	B13B02	20	d	ung	1	1	ung	dung1	東		～西		
D2003	B13B01	20	d	ung	1	1	ung	dung1	冬		秋～，～天		
D2004	B13B10	20	d	ung	2	2	ung	dung2	董		督理也。又姓～，～事		
D2005	B13B12	20	d	ung	2	2	ung	dung2	踵		足後，接～		
D2006	B13B13	20	d	ung	2	2	ung	dung2	懂		懵～，心亂也		
D2007		20	d	ung	3	3	ung	dung3	凍		寒冷		
D2008	B13B17	20	d	ung	3	3	ung	dung3	棟		樑柱		
D2009	B13C03	20	d	ung	6	6	ung	dung6	洞		深穴，岩～		
D2010	B13C08	20	d	ung	6	6	ung	dung6	動		作～，行～，搖～		
D2011	B13C10	20	d	ung	6	6	ung	dung6	慟		悲哀過度，～哭		
D2012	B13C05	20	d	ung	6	6	ung	dung6	恫		痛也		
D2013	B13D01	20	d	uk	1	7	ung	duk1	督		總～，～理，～率		
D2014	B13D03	20	d	uk	1	7	ung	duk1	篤		甚也，誠實也		
D2015	B13D19	20	d	uk	6	9	ung	duk6	讀		誦～		
D2016	B13D08	20	d	uk	6	9	ung	duk6	獨		單～		
D2017	B13D05	20	d	uk	6	9	ung	duk6	毒		惡～		
D2018	B13D16	20	d	uk	6	9	ung	duk6	牘		簡～，書版也		
D2019	B13E05	20	t	ung	1	1	ung	tung1	通		～透，～塞，～明		
D2020	B13E08	20	t	ung	2	2	ung	tung2	統		總括也		
D2021	B13E07	20	t	ung	2	2	ung	tung2	桶		木～		
D2022	B13E10	20	t	ung	3	3	ung	tung3	痛		～苦，～傷		
D2023	B13F02	20	t	ung	4	4	ung	tung4	同		合也，共也		
D2024	B13F15	20	t	ung	4	4	ung	tung4	銅		～鐵		
D2025	B13F10	20	t	ung	4	4	ung	tung4	筒		竹～		
D2026	B13F09	20	t	ung	4	4	ung	tung4	桐		梧～，樹也		
D2027	B13F11	20	t	ung	4	4	ung	tung4	童		小孩子		
D2028	B13F16	20	t	ung	4	4	ung	tung4	僮		奴僕也		
D2029	B13F24	20	t	ung	4	4	ung	tung4	瞳		眼中～子		
D2030	B13F18	20	t	ung	4	4	ung	tung4	潼		～關		
D2031	B13F01	20	t	ung	4	4	ung	tung4	仝		合也，共也		
D2032	B13G01	20	t	uk	1	7	ung	tuk1	秃	禿	～頭，光頭也		
D2033	B13H01	20	b	uk	1	7	ung	buk1	卜		占～		
D2034	B13H04	20	b	uk	6	9	ung	buk6	僕		奴～		
D2035	B13H09	20	b	uk	6	9	ung	buk6	瀑		～布，山水		
D2036	B13I02	20	p	ung	2	2	ung	pung2	捧		兩手持物		
D2037	B13I04	20	p	ung	3	3	ung	pung3	碰		～撞，適合		
D2038	B13J02	20	p	ung	4	4	ung	pung4	蓬		～萊。飛～，草名		
D2039	B13J03	20	p	ung	4	4	ung	pung4	篷		～廠		
D2040	B13K01	20	p	uk	1	7	ung	puk1	仆		～倒		
D2041	B13L05	20	m	ung	2	2	ung	mung2	懵		無知也，又亂也		
D2042	B13M03	20	m	ung	4	4	ung	mung4	蒙		～蔽。又承也，多謝也		
D2043	B13M13	20	m	ung	4	4	ung	mung4	矇		眼～，目不明也		
D2044	B13M05	20	m	ung	4	4	ung	mung4	濛		細雨也		
D2045	B13M18	20	m	ung	6	6	ung	mung6	夢		～話，發～		
D2101	B13N02	21	m	uk	6	9	ung	muk6	目		眼～，數～		
D2102	B13N01	21	m	uk	6	9	ung	muk6	木		草～		
D2103	B13N04	21	m	uk	6	9	ung	muk6	牧		養牛羊曰～		
D2104	B13N03	21	m	uk	6	9	ung	muk6	沐		洗頭		
D2105	B13N09	21	m	uk	6	9	ung	muk6	睦		親～，和～		
D2106	B13N13	21	m	uk	6	9	ung	muk6	穆		和敬也，深遠也		
D2107	B13O03	21	f	ung	1	1	ung	fung1	風		～雨，～俗，～化		
D2108	B13O10	21	f	ung	1	1	ung	fung1	蜂		蜜～		
D2109	B13O17	21	f	ung	1	1	ung	fung1	豐		～盛，～滿		
D2110	B13O08	21	f	ung	1	1	ung	fung1	楓		～樹		
D2111	B13O02	21	f	ung	1	1	ung	fung1	封		～閉，～誥		
D2112	B13O04	21	f	ung	1	1	ung	fung1	峯	峰	山之頂頭		
D2113	B13O01	21	f	ung	1	1	ung	fung1	丰		～采，～姿		
D2114	B13O06	21	f	ung	1	1	ung	fung1	烽		～火，～煙		
D2115	B13O14	21	f	ung	1	1	ung	fung1	鋒		兵器之咀也，又尖也		
D2116	B13O13	21	f	ung	1	1	ung	fung1	瘋		麻～		
D2117	B13O24	21	f	ung	2	2	ung	fung2	俸		薪～，～祿		
D2118	B13O26	21	f	ung	2	2	ung	fung2	捧		兩手持物		
D2119	B13O31	21	f	ung	3	3	ung	fung3	諷		譏～，諫也		
D2120	B13P03	21	f	ung	4	4	ung	fung4	馮		姓～		
D2121	B13P02	21	f	ung	4	4	ung	fung4	逢		～迎，又遇也		
D2122	B13P06	21	f	ung	4	4	ung	fung4	縫		裁～，～衣		
D2123	B13P09	21	f	ung	6	6	ung	fung6	鳳	鳯	～鳳，鳥名		
D2124	B13P08	21	f	ung	6	6	ung	fung6	奉		承也。侍～，～養		
D2125	B13Q09	21	f	uk	1	7	ung	fuk1	複		～雜		
D2126	B13Q08	21	f	uk	1	7	ung	fuk1	福		衣食足也		
D2127	B13Q04	21	f	uk	1	7	ung	fuk1	復		重也		
D2128	B13Q11	21	f	uk	1	7	ung	fuk1	蝠		飛鼠		
D2129	B13Q03	21	f	uk	1	7	ung	fuk1	幅		篇～		
D2130	B13Q05	21	f	uk	1	7	ung	fuk1	腹		肚也。心～		
D2131	B13Q15	21	f	uk	1	7	ung	fuk1	覆		反～，回～		
D2132	B13Q18	21	f	uk	6	9	ung	fuk6	服		衣～，～藥		
D2133	B13Q17	21	f	uk	6	9	ung	fuk6	伏		俯～		
D2134	B13Q24	21	f	uk	6	9	ung	fuk6	茯		～苓		
D2135	B13Q26	21	f	uk	6	9	ung	fuk6	袱		包～		
D2136	B13R02	21		ung	3	3	ung	ung3	甕		瓦器，～缸		
D2137	B13S01	21		uk	1	7	ung	uk1	屋		房～，～舍		
D2138	B13S04	21		uk	1	7	ung	uk1	齷		～齪，不安也		
D2139	B13T05	21	h	ung	1	1	ung	hung1	空		～虛，乏也		
D2140		21	h	ung	1	1	ung	hung1	凶		不吉，禍也		
D2141	B13T02	21	h	ung	1	1	ung	hung1	匈		～夷，狄之奴也		
D2142		21	h	ung	1	1	ung	hung1	兇		～暴，惡也		
D2143	B13T10	21	h	ung	1	1	ung	hung1	胸		心～		
D2144	B13T06	21	h	ung	1	1	ung	hung1	洶		水之聲勢也		
D2145	B13T19	21	h	ung	2	2	ung	hung2	孔		穴也。又姓		
D2146	B13T20	21	h	ung	2	2	ung	hung2	恐		惶～，～懼		
D2147	B13T24	21	h	ung	3	3	ung	hung3	控		引也，告訴也		
D2148	B13U02	21	h	ung	4	4	ung	hung4	紅		～色		
D2149	B13U07	21	h	ung	4	4	ung	hung4	雄		英～，雌～		
D2150	B13U01	21	h	ung	4	4	ung	hung4	洪		大也。又姓		
D2151	B13U03	21	h	ung	4	4	ung	hung4	虹		天～		
D2152	B13U10	21	h	ung	4	4	ung	hung4	熊		～熊。獸名		
D2153	B13U11	21	h	ung	4	4	ung	hung4	鴻		～雁		
D2154	B13U05	21	h	ung	4	4	ung	hung4	烘		大光也		
D2155	B13U14	21	h	ung	6	6	ung	hung6	哄		眾聲也，喝聲也		
D2201	B13V02	22	h	uk	1	7	ung	huk1	哭		～泣		
D2202		22	h	uk	1	7	ung	huk1	朂		勉也		
D2203	B13V06	22	h	uk	6	9	ung	huk6	酷		貪～，苛刻也		
D2204	B14A03	22	z	eng	2	2	eng	zeng2	井		地之出水曰水～		
D2205	B14B03	22	z	eng	6	6	eng	zeng6	鄭		～重，～姓		
D2206	B14B02	22	z	eng	6	6	eng	zeng6	淨	净|凈|浄	潔～		
D2207	B14C05	22	z	ek	3	8	eng	zek3	隻		件也		
D2208	B14C01	22	z	ek	3	8	eng	zek3	只		同隻		
D2209		22	z	ek	3	8	eng	zek3	炙		用火煎，親近也		
D2210	B14C03	22	z	ek	3	8	eng	zek3	𬉿	炙	仝炙		
D2211	B14C04	22	z	ek	3	8	eng	zek3	脊		背～，屋～		
D2212	B14C09	22	z	ek	3	8	eng	zek3	瘠		瘦～		
D2213	B14C11	22	z	ek	6	9	eng	zek6	蓆		草～		
D2214	B14D01	22	c	eng	1	1	eng	ceng1	青	靑	～色		
D2215	B14D03	22	c	eng	2	2	eng	ceng2	請		～求，～人		
D2216	B14E01	22	c	eng	4	4	eng	ceng4	晴		雲散日出雨止		
D2217	B14F01	22	c	ek	3	8	eng	cek3	尺		丈～		
D2218	B14F02	22	c	ek	3	8	eng	cek3	赤		～色，～子		
D2219	B14F04	22	c	ek	3	8	eng	cek3	刺		頭～，～痛		
D2220	B14G04	22	s	eng	1	1	eng	seng1	聲		～氣，～音		
D2221	B14G01	22	s	eng	1	1	eng	seng1	声		仝聲		
D2222	B14G03	22	s	eng	1	1	eng	seng1	腥		生肉，魚～，～臭		
D2223	B14G05	22	s	eng	2	2	eng	seng2	醒		睡～		
D2224	B14H01	22	s	eng	4	4	eng	seng4	城		城～		
D2225	B14I03	22	s	ek	3	8	eng	sek3	錫		銅～		
D2226	B14I02	22	s	ek	3	8	eng	sek3	惜		愛～		
D2227	B14I04	22	s	ek	6	9	eng	sek6	石		沙～，～頭		
D2228	B14I06	22	s	ek	6	9	eng	sek6	碩		大也		
D2229	B14J01	22	j	eng	2	2	eng	jeng2	影		日～，～迹		
D2230	B14K02	22	j	eng	4	4	eng	jeng4	贏		輸～		
D2231	B14L02	22	g	eng	1	1	eng	geng1	驚		～恐		
D2232	B14L03	22	g	eng	2	2	eng	geng2	頸		頭～		
D2233	B14L04	22	g	eng	3	3	eng	geng3	鏡		玻(⿰王𭀖)～		
D2234	B14O01	22	d	eng	1	1	eng	deng1	疔		～瘡		
D2235	B14O02	22	d	eng	1	1	eng	deng1	釘		鐵～		
D2236	B14O03	22	d	eng	2	2	eng	deng2	頂		頭～，屋～		
D2237	B14O04	22	d	eng	3	3	eng	deng3	掟		擲物也		
D2238	B14P02	22	d	eng	6	6	eng	deng6	定		落～，～實，訂～		
D2239	B14Q02	22	d	ek	6	9	eng	dek6	笛		簫～		
D2240	B14Q03	22	d	ek	6	9	eng	dek6	糴		買米		
D2301	B15A04	23	t	eng	1	1	eng	teng1	廳	㕔	～堂		
D2302	B15A02	23	t	eng	1	1	eng	teng1	聼	聽	～聞		
D2303	B15B01	23	t	eng	5	5	eng	teng5	艇		船～		
D2304	B15C01	23	t	ek	3	8	eng	tek3	踢		腳～物		
D2305	B15D02	23	b	eng	2	2	eng	beng2	餅	餠	～食，燒～		
D2306	B15D05	23	b	eng	3	3	eng	beng3	柄		權～，刀～		
D2307	B15E01	23	b	eng	6	6	eng	beng6	病		疾～		
D2308	B15G01	23	p	ek	3	8	eng	pek3	劈		剖破也		
D2309	B15H02	23	m	eng	6	6	eng	meng6	命		性～		
D2310	B15J01	23	h	ek	3	8	eng	hek3	吃		～飯		
D2311	B16A03	23	z	aan	2	2	aan	zaan2	盞		燈～，茶～		
D2312	B16A09	23	z	aan	3	3	aan	zaan3	贊		參～，助也		
D2313	B16A16	23	z	aan	3	3	aan	zaan3	趲		催～		
D2314	B16A15	23	z	aan	3	3	aan	zaan3	讚		～賞		
D2315	B16B05	23	z	aan	6	6	aan	zaan6	賺		～錢		
D2316	B16B01	23	z	aan	6	6	aan	zaan6	棧		～房，客～		
D2317	B16B04	23	z	aan	6	6	aan	zaan6	撰		造也，述也		
D2318	B16B06	23	z	aan	6	6	aan	zaan6	饌		餚～，餸菜也		
D2319	B16B09	23	z	aan	6	6	aan	zaan6	贃		～錢		
D2320	B16B03	23	z	aan	6	6	aan	zaan6	綻		破～，衣縫裂也		
D2321	B16C02	23	z	aat	3	8	aan	zaat3	扎		縛也		
D2322	B16C04	23	z	aat	3	8	aan	zaat3	札		信～，書～		
D2323	B16C07	23	z	aat	3	8	aan	zaat3	軋		傾～		
D2324	B16C09	23	z	aat	3	8	aan	zaat3	紥	紮	縛也。又駐～		
D2325	B16C13	23	z	aat	6	9	aan	zaat6	曱		甴～		
D2326	B16D03	23	c	aan	1	1	aan	caan1	餐		飯～		
D2327	B16D06	23	c	aan	2	2	aan	caan2	產	産	～業，生～		
D2328	B16D10	23	c	aan	2	2	aan	caan2	鏟		鑊～，～刀		
D2329	B16D07	23	c	aan	2	2	aan	caan2	剷		削平也		
D2330	B16D14	23	c	aan	3	3	aan	caan3	燦		光明，～爛		
D2331	B16E02	23	c	aan	4	4	aan	caan4	殘		～舊，～害		
D2332	B16F03	23	c	aat	3	8	aan	caat3	察		審～，視～		
D2333	B16F01	23	c	aat	3	8	aan	caat3	刷		振作也。牙～		
D2334	B16F05	23	c	aat	3	8	aan	caat3	獺		水～，水狗		
D2335	B16F04	23	c	aat	3	8	aan	caat3	擦		磨～		
D2336	B16G01	23	n	aan	2	2	aan	naan2	赧		面紅愧慚		
D2337	B16H02	23	n	aan	4	4	aan	naan4	難		艱～		
D2338	B16H05	23	n	aan	6	6	aan	naan6	難		災～		
D2401	B16I02	24	n	aat	6	9	aan	naat6	捺		書法也，如撇～		
D2402	B16J01	24	s	aan	1	1	aan	saan1	山		岡～		
D2403	B16J02	24	s	aan	1	1	aan	saan1	删	刪	改除也		
D2404	B16J03	24	s	aan	1	1	aan	saan1	舢		～板，小船也		
D2405	B16J08	24	s	aan	1	1	aan	saan1	珊		～瑚		
D2406	B16J07	24	s	aan	1	1	aan	saan1	閂		～門		
D2407	B16J13	24	s	aan	2	2	aan	saan2	散		丸～，懶～		
D2408	B16J20	24	s	aan	3	3	aan	saan3	散		聚～，疏～		
D2409	B16J16	24	s	aan	3	3	aan	saan3	汕		～頭。舒散也		
D2410	B16J19	24	s	aan	3	3	aan	saan3	傘		雨遮		
D2411	B16J17	24	s	aan	3	3	aan	saan3	疝		小腸氣		
D2412	B16J18	24	s	aan	3	3	aan	saan3	訕		毀謗也		
D2413	B16K01	24	s	aan	4	4	aan	saan4	孱		～弱		
D2414	B16K03	24	s	aan	4	4	aan	saan4	潺		水流聲		
D2415	B16L04	24	s	aat	3	8	aan	saat3	殺		誅戮，～人		
D2416	B16L05	24	s	aat	3	8	aan	saat3	煞		凶神也		
D2417	B16L07	24	s	aat	3	8	aan	saat3	撒		放也。～手		
D2418	B16L09	24	s	aat	3	8	aan	saat3	薩		菩～		
D2419	B16M04	24	g	aan	1	1	aan	gaan1	間		中～，又內也		
D2420	B16M01	24	g	aan	1	1	aan	gaan1	奸		～偽		
D2421	B16M06	24	g	aan	1	1	aan	gaan1	艱		～難		
D2422	B16M03	24	g	aan	1	1	aan	gaan1	姦		～淫		
D2423	B16M14	24	g	aan	2	2	aan	gaan2	簡		～策，～略		
D2424	B16M15	24	g	aan	2	2	aan	gaan2	繭		蠶～		
D2425	B16M09	24	g	aan	2	2	aan	gaan2	揀		～擇		
D2426	B16M08	24	g	aan	2	2	aan	gaan2	柬		書～，～帖		
D2427	B16M20	24	g	aan	2	2	aan	gaan2	鹼		～性，番～		
D2428	B16M21	24	g	aan	3	3	aan	gaan3	間		～隔，時～		
D2429	B16M24	24	g	aan	3	3	aan	gaan3	諫	諌	直言相勸也		
D2430	B16Q01	24	ng	aan	4	4	aan	ngaan4	顏	顔	～容，～色，又姓		
D2431	B16Q02	24	ng	aan	5	5	aan	ngaan5	眼		～目		
D2432	B16Q03	24	ng	aan	6	6	aan	ngaan6	雁		鴻～		
D2433	B16R05	24	ng	aat	3	8	aan	ngaat3	壓		鎮～，～廹		
D2434	B16S03	24	d	aan	1	1	aan	daan1	單		孤～，～據，～薄		
D2435	B16S01	24	d	aan	1	1	aan	daan1	丹		赤色也，牡～		
D2436	B16S12	24	d	aan	3	3	aan	daan3	旦		早也，明也		
D2437	B16S17	24	d	aan	3	3	aan	daan3	𧩙	誕	生日也		
D2438	B16T02	24	d	aan	6	6	aan	daan6	但		凡也。又轉語用		
D2439	B16T07	24	d	aan	6	6	aan	daan6	彈		～丸		
D2440	B16T03	24	d	aan	6	6	aan	daan6	疍	蛋	雞鴨～		
D2441	B16U02	24	d	aat	6	9	aan	daat6	達		通也，告也。又發～		
D2442	B16V02	24	t	aan	1	1	aan	taan1	灘		水之急處		
D2443	B16V03	24	t	aan	1	1	aan	taan1	攤		～派		
D2444	B16V04	24	t	aan	2	2	aan	taan2	坦		平～		
D2445	B16V05	24	t	aan	2	2	aan	taan2	妲		～己		
D2446	B16V10	24	t	aan	2	2	aan	taan2	毯		粗氈也		
D2447	B16V17	24	t	aan	2	2	aan	taan2	癱		風～		
D2448	B16V21	24	t	aan	3	3	aan	taan3	歎		嗟～		
D2449	B16V19	24	t	aan	3	3	aan	taan3	嘆		仝歎		
D2501	B16V18	25	t	aan	3	3	aan	taan3	炭		火燒之木為～		
D2502	B16W05	25	t	aan	4	4	aan	taan4	壇		祭場曰～		
D2503	B16W06	25	t	aan	4	4	aan	taan4	檀		～香，木名		
D2504	B16W03	25	t	aan	4	4	aan	taan4	彈		射也。～琴		
D2505	B16X03	25	t	aat	3	8	aan	taat3	撻		鞭～，打也		
D2506	B17A02	25	b	aan	1	1	aan	baan1	班		列也。～級，戲～		
D2507	B17A03	25	b	aan	1	1	aan	baan1	頒		分也，賜也		
D2508	B17A04	25	b	aan	1	1	aan	baan1	斑		～斕，雜文也		
D2509	B17A09	25	b	aan	2	2	aan	baan2	板		木～也		
D2510	B17A12	25	b	aan	2	2	aan	baan2	舨		舢～		
D2511	B17A11	25	b	aan	2	2	aan	baan2	版		～圖，書～		
D2512	B17A16	25	b	aan	2	2	aan	baan2	闆		老～，資本家，店主也		
D2513	B17B04	25	b	aan	6	6	aan	baan6	辦		～事，備也，買也		
D2514	B17B02	25	b	aan	6	6	aan	baan6	扮		打～		
D2515	B17B03	25	b	aan	6	6	aan	baan6	湴		坭～		
D2516	B17C01	25	b	aat	3	8	aan	baat3	八		數名		
D2517	B17C02	25	b	aat	3	8	aan	baat3	捌		仝八		
D2518	B17D02	25	p	aan	1	1	aan	paan1	攀		援也，引也，挽也		
D2519	B17D01	25	p	aan	1	1	aan	paan1	扳		仝攀		
D2520	B17D03	25	p	aan	3	3	aan	paan3	盼		視也，～望也		
D2521	B17E07	25	m	aan	4	4	aan	maan4	蠻		～夷，野～		
D2522	B17E08	25	m	aan	5	5	aan	maan5	晚	晩	暮也，夜～		
D2523	B17E14	25	m	aan	6	6	aan	maan6	萬		十千曰～		
D2524	B17E10	25	m	aan	6	6	aan	maan6	万		同萬		
D2525	B17E12	25	m	aan	6	6	aan	maan6	曼		引也		
D2526	B17E17	25	m	aan	6	6	aan	maan6	慢		簡～，怠～，快～		
D2527	B17E22	25	m	aan	6	6	aan	maan6	蔓		～草，～延		
D2528	B17E21	25	m	aan	6	6	aan	maan6	漫		散～，浪～		
D2529	B17G03	25	f	aan	1	1	aan	faan1	番		夷狄之稱		
D2530	B17G07	25	f	aan	1	1	aan	faan1	翻		翩～，～覆。羽飛也		
D2531	B17G05	25	f	aan	1	1	aan	faan1	繙		～譯		
D2532	B17G10	25	f	aan	2	2	aan	faan2	反		～覆，正～		
D2533	B17G11	25	f	aan	2	2	aan	faan2	返		還也		
D2534	B17G15	25	f	aan	3	3	aan	faan3	泛		廣也，濫也		
D2535	B17H01	25	f	aan	4	4	aan	faan4	凡		皆也，大概也		
D2536	B17H03	25	f	aan	4	4	aan	faan4	帆		船𢃇也。風～		
D2537	B17H08	25	f	aan	4	4	aan	faan4	煩		勞也。麻～		
D2538	B17H15	25	f	aan	4	4	aan	faan4	繁		多也		
D2539	B17H07	25	f	aan	4	4	aan	faan4	梵		～音		
D2540	B17H19	25	f	aan	4	4	aan	faan4	藩		～離		
D2541	B17H12	25	f	aan	4	4	aan	faan4	蕃		茂也，盛也		
D2542	B17H27	25	f	aan	5	5	aan	faan5	販		小買賣也		
D2543	B17H29	25	f	aan	6	6	aan	faan6	犯		侵～，～罪		
D2544	B17H35	25	f	aan	6	6	aan	faan6	飯		米～		
D2545	B17H37	25	f	aan	6	6	aan	faan6	範		法也，模也，防也		
D2546	B17H30	25	f	aan	6	6	aan	faan6	范		草名，又姓		
D2547	B17H38	25	f	aan	6	6	aan	faan6	瓣		花～		
D2601	B17I06	26	f	aat	3	8	aan	faat3	發		～起，～達		
D2602	B17I01	26	f	aat	3	8	aan	faat3	法		～度，方～		
D2603	B17I07	26	f	aat	3	8	aan	faat3	髮	髪	毛～，頭～		
D2604	B17J02	26	w	aan	1	1	aan	waan1	彎		曲也，攣也		
D2605	B17J03	26	w	aan	1	1	aan	waan1	灣		水之曲處也		
D2606		26	w	aan	2	2	aan	waan2	挽		持也，引也		
D2607	B17K03	26	w	aan	4	4	aan	waan4	頑		愚～，～童，～皮		
D2608	B17K06	26	w	aan	4	4	aan	waan4	寰		～宇		
D2609	B17K07	26	w	aan	4	4	aan	waan4	還		反復也，再也。交～		
D2610	B17K08	26	w	aan	4	4	aan	waan4	環		～繞，門～		
D2611	B17K15	26	w	aan	5	5	aan	waan5	挽		引也，持也		
D2612	B17K14	26	w	aan	5	5	aan	waan5	幻		虛妄也		
D2613	B17K17	26	w	aan	5	5	aan	waan5	鯇		～魚		
D2614	B17K16	26	w	aan	5	5	aan	waan5	輓		車～，弔～，～聯		
D2615	B17K19	26	w	aan	6	6	aan	waan6	宦		官～，閹～		
D2616	B17K20	26	w	aan	6	6	aan	waan6	患		～難		
D2617	B17L02	26	w	aat	3	8	aan	waat3	挖		以手探穴		
D2618	B17L03	26	w	aat	3	8	aan	waat3	斡		～旋，回轉也		
D2619	B17L05	26	w	aat	6	9	aan	waat6	滑		澤也。光～，奸～		
D2620	B17M06	26	gw	aan	1	1	aan	gwaan1	關		城門也。又姓		
D2621	B17M07	26	gw	aan	1	1	aan	gwaan1	鰥	𩻴	老而無妻曰～		
D2622	B17M13	26	gw	aan	3	3	aan	gwaan3	慣		習也，熟也		
D2623	B17N01	26	gw	aat	3	8	aan	gwaat3	刮		削磨也		
D2624	B17O02	26		aan	3	3	aan	aan3	晏		晚也，又安也		
D2625	B17P18	26		aat	3	8	aan	aat3	壓		鎮～，覆～		
D2626	B17P01	26		aat	3	8	aan	aat3	押		抵～		
D2627	B17Q03	26	h	aan	1	1	aan	haan1	慳		～儉		
D2628	B17R03	26	h	aan	4	4	aan	haan4	閒		～暇		
D2629	B17R02	26	h	aan	4	4	aan	haan4	閑		止防也，門限也		
D2630	B17R05	26	h	aan	4	4	aan	haan4	嫻		習熟也		
D2631	B17R11	26	h	aan	6	6	aan	haan6	限		門～，～度		
D2632	B18A02	26	z	in	1	1	in	zin1	毡		毛～		
D2633	B18A10	26	z	in	1	1	in	zin1	煎		～炒		
D2634	B18A12	26	z	in	1	1	in	zin1	箋		信～		
D2635	B18A11	26	z	in	1	1	in	zin1	牋		仝箋		
D2636		26	z	in	1	1	in	zin1	顫		四肢震動也		
D2637	B18A29	26	z	in	2	2	in	zin2	剪		裁～，較～		
D2638	B18A27	26	z	in	2	2	in	zin2	展		舒～，開也		
D2639	B18A42	26	z	in	2	2	in	zin2	輾		～轉		
D2640	B18A58	26	z	in	3	3	in	zin3	戰		～鬥，～爭		
D2641	B18A59	26	z	in	3	3	in	zin3	薦		舉～，介紹		
D2642	B18A53	26	z	in	3	3	in	zin3	荐		同薦		
D2643	B18A57	26	z	in	3	3	in	zin3	餞		～行		
D2701	B18A56	27	z	in	3	3	in	zin3	箭		弓～		
D2702	B18B03	27	z	in	6	6	in	zin6	賤		卑下		
D2703	B18C13	27	z	it	3	8	in	zit3	節		～制，～儉		
D2704	B18C02	27	z	it	3	8	in	zit3	折		損也，耗也		
D2705	B18C03	27	z	it	3	8	in	zit3	哲		明～		
D2706	B18C04	27	z	it	3	8	in	zit3	浙		～江		
D2707	B18C21	27	z	it	6	9	in	zit6	捷	㨗	勝也。快～		
