# 資料庫版本: 2020-06-14
序號	頁碼	勘誤表頁碼	音節組	字頭	兼容字頭	讀音	聲調	讀音分類	讀音備註	釋義	字條校訂註	義項#	讀音#
121.0.15.0.11	77		hau	候		hau꜅	陽去					1/1	1/1
121.0.15.1.11		716	hau	堠		hau꜅	陽去					1/1	1/1
122.0.01.0.11	77		háu	敲		꜀háu	陰平					1/1	1/1
122.0.02.0.11	77		háu	拷		꜀háu	陰平					1/1	1/1
122.0.03.0.11	77		háu	磽		꜀háu	陰平					1/1	1/1
122.0.04.0.11	77		háu	哮		꜀háu	陰平					1/1	1/1
122.0.05.0.11	77		háu	虓		꜀háu	陰平					1/1	1/1
122.0.06.0.11	77		háu	尻		꜀háu	陰平					1/1	1/1
122.0.07.0.11	77		háu	考		꜂háu	陰上					1/1	1/1
122.0.08.0.11	77		háu	攷		꜂háu	陰上					1/1	1/1
122.0.09.0.11	77		háu	栲		꜂háu	陰上					1/1	1/1
122.0.10.0.11	77		háu	巧		꜂háu	陰上					1/1	1/1
122.0.11.0.11	77		háu	孝		háu꜄	陰去					1/1	1/1
122.0.12.0.11	78		háu	效|傚		háu꜅	陽去					1/1	1/1
122.0.13.0.11	78		háu	効		háu꜅	陽去					1/1	1/1
122.0.14.0.11	78		háu	恔		háu꜅	陽去					1/1	1/1
122.0.15.0.11	78		háu	校		háu꜅	陽去					1/1	1/1
123.0.01.0.11	78		hé	○		꜀hé	陰平			A colloquial exclamation, expressing disapproval; [꜀hé]! [꜁’m ꜂hò t‘au꜄] don't touch it!		1/1	1/1
124.0.01.0.11	78		héung	香		꜀héung	陰平					1/1	1/1
124.0.02.0.11	78		héung	鄉		꜀héung	陰平					1/1	1/1
124.0.03.0.11	78		héung	享		꜂héung	陰上					1/1	1/1
124.0.04.0.11	78		héung	饗		꜂héung	陰上					1/1	1/1
124.0.05.0.11	78		héung	響		꜂héung	陰上					1/1	1/1
124.0.06.0.11	78		héung	响		꜂héung	陰上					1/1	1/1
124.0.07.0.11	79		héung	蠁		꜂héung	陰上					1/1	1/1
124.0.08.0.11	79		héung	餉		꜂héung	陰上					1/1	1/1
124.0.09.0.11	79	716	héung	晌		꜂héung	陰上					1/1	1/1
124.0.10.0.11	79		héung	珦		꜂héung	陰上					1/1	1/1
124.0.11.0.11	79		héung	嚮		꜂héung	陰上					1/1	1/1
124.0.12.0.11	79		héung	向		héung꜄	陰去					1/1	1/1
124.0.13.0.11	79		héung	曏		héung꜄	陰去					1/1	1/1
125.0.01.0.11	79		hí	欺		꜀hí	陰平					1/1	1/1
125.0.02.0.11	79		hí	希		꜀hí	陰平					1/1	1/1
125.0.03.0.11	79		hí	睎		꜀hí	陰平					1/1	1/1
125.0.04.0.11	79		hí	稀		꜀hí	陰平					1/1	1/1
125.0.05.0.11	79		hí	晞		꜀hí	陰平					1/1	1/1
125.0.06.0.11	79		hí	俙		꜀hí	陰平					1/1	1/1
125.0.07.0.11	79		hí	絺		꜀hí	陰平					1/1	1/1
125.0.08.0.11	79		hí	熹		꜀hí	陰平					1/1	1/1
125.0.09.0.11	79		hí	禧		꜀hí	陰平					1/1	1/1
125.0.10.0.11	80		hí	嬉		꜀hí	陰平					1/1	1/1
125.0.11.0.11	80		hí	嘻		꜀hí	陰平					1/1	1/1
125.0.12.0.11	80		hí	譆		꜀hí	陰平					1/1	1/1
125.0.13.0.11	80		hí	欷		꜀hí	陰平					1/1	1/1
125.0.14.0.11	80		hí	豨		꜀hí	陰平					1/1	1/1
125.0.15.0.11	80		hí	醯		꜀hí	陰平					1/1	1/1
125.0.16.0.11	80		hí	僛		꜀hí	陰平					1/1	1/1
125.0.17.0.11	80		hí	熙		꜀hí	陰平					1/1	1/1
125.0.18.0.11	80		hí	羲		꜀hí	陰平					1/1	1/1
125.0.19.0.11	80		hí	犠		꜀hí	陰平					1/1	1/1
125.0.20.0.11	80		hí	嚱		꜀hí	陰平					1/1	1/1
125.0.21.0.11	80		hí	僖		꜀hí	陰平					1/1	1/1
125.0.21.1.11		716	hí	蹊		꜀hí	陰平					1/1	1/1
125.0.22.0.11	80		hí	喜		꜂hí	陰上					1/1	1/1
125.0.23.0.11	80		hí	豈		꜂hí	陰上					1/1	1/1
125.0.24.0.11	80		hí	起		꜂hí	陰上					1/1	1/1
125.0.25.0.11	81		hí	氣|气		hí꜄	陰去					1/1	1/1
125.0.26.0.11	81		hí	愾		hí꜄	陰去					1/1	1/1
125.0.27.0.11	81		hí	餼		hí꜄	陰去					1/1	1/1
125.0.28.0.11	81		hí	戯	戲	hí꜄	陰去					1/1	1/1
125.0.29.0.11	81		hí	器|噐		hí꜄	陰去					1/1	1/1
125.0.30.0.11	81		hí	棄		hí꜄	陰去					1/1	1/1
125.0.31.0.11	82		hí	憩		hí꜄	陰去					1/1	1/1
125.0.32.0.11	82		hí	咥		hí꜄	陰去					1/1	1/1
126.0.01.0.11	82		hím	謙		꜀hím	陰平					1/1	1/1
126.0.02.0.11	82		hím	嗛		꜀hím	陰平					1/1	1/1
126.0.03.0.11	82		hím	險		꜂hím	陰上					1/1	1/1
126.0.04.0.11	82		hím	玁		꜂hím	陰上					1/1	1/1
126.0.05.0.11	82		hím	欠		hím꜄	陰去					1/1	1/1
127.0.01.0.11	82		hín	牽		꜀hín	陰平					1/1	1/1
127.0.02.0.11	82		hín	愆		꜀hín	陰平					1/1	1/1
127.0.03.0.11	82		hín	騫		꜀hín	陰平					1/1	1/1
127.0.04.0.11	82		hín	搴		꜀hín	陰平					1/1	1/1
127.0.05.0.11	82		hín	褰		꜀hín	陰平					1/1	1/1
127.0.06.0.11	82		hín	軒		꜀hín	陰平					1/1	1/1
127.0.07.0.11	82		hín	掀		꜀hín	陰平					1/1	1/1
127.0.08.0.11	82		hín	𦜓		꜀hín	陰平					1/1	1/1
127.0.09.0.11	83		hín	顯		꜂hín	陰上					1/1	1/1
127.0.10.0.11	83		hín	遣		꜂hín	陰上					1/1	1/1
127.0.11.0.11	83		hín	譴		꜂hín	陰上					1/1	1/1
127.0.12.0.11	83		hín	繾		꜂hín	陰上					1/1	1/1
127.0.13.0.11	83		hín	蜆		꜂hín	陰上					1/1	1/1
127.0.14.0.11	83		hín	憲		hín꜄	陰去					1/1	1/1
127.0.15.0.11	83		hín	獻		hín꜄	陰去					1/1	1/1
127.0.16.0.11	83		hín	讞		hín꜄	陰去					1/1	1/1
127.0.16.1.11		716	hín	幰		hín꜄	陰去					1/1	1/1
128.0.01.0.11	83		hing	興		꜀hing	陰平					1/1	1/1
128.0.02.0.11	84		hing	兄		꜀hing	陰平					1/1	1/1
128.0.03.0.11	84		hing	卿		꜀hing	陰平					1/1	1/1
128.0.04.0.11	84		hing	馨		꜀hing	陰平					1/1	1/1
128.0.05.0.11	84		hing	輕		꜀hing	陰平					1/1	1/2
128.0.05.0.12	84		hing	輕		꜀heng	陰平	USUALLY_PRO				1/1	2/2
128.0.06.0.11	84		hing	罄		hing꜄	陰去					1/1	1/2
128.0.06.0.12	84		hing	罄		heng꜄	陰去	USUALLY_PRO				1/1	2/2
128.0.07.0.11	84		hing	磬		hing꜄	陰去					1/1	1/2
128.0.07.0.12	84		hing	磬		heng꜄	陰去	USUALLY_PRO				1/1	2/2
128.0.08.0.11	84		hing	謦		hing꜄	陰去					1/1	1/2
128.0.08.0.12	84		hing	謦		heng꜄	陰去	USUALLY_PRO				1/1	2/2
128.0.09.0.11	84		hing	慶		hing꜄	陰去					1/1	1/1
128.0.10.0.11	84		hing	興		hing꜄	陰去					1/1	1/1
128.0.11.0.11	84		hing	㷫		hing꜄	陰去					1/1	1/1
129.0.01.0.11	84	716	híp	脅		híp꜆	陰入					1/1	1/2
129.0.01.0.12	84	716	híp	脅		híp꜇	陽入	MORE_FREQ_HEARD				1/1	2/2
129.0.02.0.11	85	716	híp	協|叶|劦		híp꜆	陰入				原字模作「拹」，據勘誤表改作「協」	1/1	1/2
129.0.02.0.12	85	716	híp	協|叶|劦		híp꜇	陽入	MORE_FREQ_HEARD				1/1	2/2
129.0.03.0.11	85	716	híp	愜		híp꜆	陰入					1/1	1/2
129.0.03.0.12	85	716	híp	愜		híp꜇	陽入	MORE_FREQ_HEARD				1/1	2/2
129.0.04.0.11	85	716	híp	慊		híp꜆	陰入					1/2	1/2
129.0.04.0.12	85	716	híp	慊		híp꜇	陽入	MORE_FREQ_HEARD				1/2	2/2
129.0.04.0.21	85	716	híp	慊		꜀hím	陰平					2/2	1/1
129.0.05.0.11	85	716	híp	怯		híp꜆	陰入					1/1	1/2
129.0.05.0.12	85	716	híp	怯		híp꜇	陽入	MORE_FREQ_HEARD				1/1	2/2
129.0.06.0.11	85	716	híp	歉		híp꜆	陰入					1/1	1/2
129.0.06.0.12	85	716	híp	歉		híp꜇	陽入	MORE_FREQ_HEARD				1/1	2/2
129.0.07.0.11	85	716	híp	勰		híp꜆	陰入					1/1	1/3
129.0.07.0.12	85	716	híp	勰		híp꜇	陽入	MORE_FREQ_HEARD				1/1	2/3
129.0.07.0.13	85	716	híp	勰		꜀sz’	陰平					1/1	3/3
129.0.08.0.11	85	716	híp	挾		híp꜆	陰入					1/1	1/2
129.0.08.0.12	85	716	híp	挾		híp꜇	陽入	MORE_FREQ_HEARD				1/1	2/2
129.0.08.1.11		716	híp	拹		híp꜆	陰入					1/1	1/2
129.0.08.1.12		716	híp	拹		híp꜇	陽入	MORE_FREQ_HEARD				1/1	2/2
130.0.01.0.11	85		hít	歇		hít꜆	陰入					1/1	1/1
130.0.02.0.11	85		hít	蝎		hít꜆	陰入					1/1	1/1
131.0.01.0.11	85		hiú	囂		꜀hiú	陰平					1/1	1/1
131.0.02.0.11	85		hiú	枵		꜀hiú	陰平					1/1	1/1
131.0.03.0.11	85		hiú	鴞		꜀hiú	陰平					1/1	1/1
131.0.04.0.11	85		hiú	梟		꜀hiú	陰平					1/1	1/1
131.0.05.0.11	85		hiú	徼		꜀hiú	陰平					1/1	1/1
131.0.06.0.11	86		hiú	嘵		꜀hiú	陰平					1/1	1/1
131.0.07.0.11	86		hiú	驍		꜀hiú	陰平					1/1	1/1
131.0.07.1.11		717	hiú	蹺		꜀hiú	陰平					1/1	1/1
131.0.08.0.11	86		hiú	曉		꜂hiú	陰上					1/1	1/1
131.0.09.0.11	86		hiú	竅		hiú꜄	陰去					1/1	1/2
131.0.09.0.12	86		hiú	竅		kiú꜄	陰去	CORRECTLY_READ				1/1	2/2
131.0.10.0.11	86		hiú	○		hiú꜄	陰去			A colloquial word, to perk or cock up, as a dog's tail, a bow lying on its back, or the stern of a junk.		1/1	1/1
132.0.01.0.11	86		ho	苛		꜀ho	陰平					1/1	1/1
132.0.02.0.11	86		ho	呵		꜀ho	陰平					1/1	1/1
132.0.03.0.11	86		ho	訶		꜀ho	陰平					1/1	1/1
132.0.04.0.11	86		ho	河		꜁ho	陽平					1/1	1/1
132.0.05.0.11	86		ho	何		꜁ho	陽平					1/1	1/1
132.0.06.0.11	87		ho	荷		꜁ho	陽平					1/1	1/1
132.0.07.0.11	87		ho	可		꜂ho	陰上					1/1	1/1
132.0.08.0.11	87		ho	坷		꜂ho	陰上					1/1	1/1
132.0.09.0.11	87		ho	舸		꜂ho	陰上					1/1	1/1
132.0.10.0.11	87		ho	賀		ho꜅	陽去					1/1	1/1
132.0.11.0.11	87		ho	荷		ho꜅	陽去					1/1	1/1
133.0.01.0.11	87		hò	蒿		꜀hò	陰平					1/1	1/1
133.0.02.0.11	87		hò	薅		꜀hò	陰平					1/1	1/1
133.0.03.0.11	87		hò	噑		꜀hò	陰平					1/1	1/1
133.0.04.0.11	87		hò	豪		꜁hò	陽平					1/1	1/1
133.0.05.0.11	87		hò	毫		꜁hò	陽平					1/1	1/1
133.0.06.0.11	88		hò	壕		꜁hò	陽平					1/1	1/1
133.0.07.0.11	88		hò	濠		꜁hò	陽平					1/1	1/1
133.0.08.0.11	88		hò	蠔		꜁hò	陽平					1/1	1/1
133.0.09.0.11	88		hò	譹		꜁hò	陽平					1/1	1/1
133.0.10.0.11	88		hò	號		꜁hò	陽平					1/1	1/1
133.0.11.0.11	88		hò	好		꜂hò	陰上					1/1	1/1
133.0.12.0.11	88		hò	好		hò꜄	陰去					1/1	1/1
133.0.13.0.11	88		hò	耗		hò꜄	陰去					1/1	1/1
133.0.14.0.11	88		hò	犒		hò꜄	陰去					1/1	1/1
133.0.15.0.11	88		hò	昊		hò꜅	陽去					1/1	1/1
133.0.16.0.11	88		hò	浩		hò꜅	陽去					1/1	1/1
133.0.17.0.11	88		hò	灝		hò꜅	陽去					1/1	1/1
133.0.18.0.11	89		hò	皓|顥		hò꜅	陽去					1/1	1/1
133.0.19.0.11	89	717	hò	號|号		hò꜅	陽去					1/1	1/1
134.0.01.0.11	89		hoi	開		꜀hoi	陰平					1/1	1/1
134.0.02.0.11	89		hoi	孩		꜁hoi	陽平					1/1	1/1
134.0.03.0.11	89		hoi	頦		꜁hoi	陽平					1/1	1/1
134.0.04.0.11	89		hoi	駭		꜁hoi	陽平					1/1	1/1
134.0.05.0.11	89		hoi	骸		꜁hoi	陽平					1/1	1/1
134.0.06.0.11	89		hoi	海		꜂hoi	陰上					1/1	1/1
134.0.07.0.11	90		hoi	愷		꜂hoi	陰上					1/1	1/1
134.0.08.0.11	90		hoi	凱		꜂hoi	陰上					1/1	1/1
134.0.09.0.11	90		hoi	塏		꜂hoi	陰上					1/1	1/1
134.0.10.0.11	90		hoi	鎧		꜂hoi	陰上					1/1	1/1
134.0.11.0.11	90		hoi	剴		꜂hoi	陰上					1/1	1/1
134.0.12.0.11	90		hoi	闓		꜂hoi	陰上					1/1	1/1
134.0.13.0.11	90		hoi	醢		꜂hoi	陰上					1/1	1/1
134.0.14.0.11	90		hoi	害		hoi꜅	陽去					1/1	1/1
134.0.15.0.11	90		hoi	亥		hoi꜅	陽去					1/1	1/1
135.0.01.0.11	90	717	hok	殼|壳		hok꜆	陰入					1/1	1/1
135.0.02.0.11	90	717	hok	學|𡕕		hok꜇	陽入					1/1	1/1
135.0.03.0.11	91		hok	鶴		hok꜇	陽入					1/1	1/1
135.0.04.0.11	91		hok	翯		hok꜇	陽入					1/1	1/1
136.0.01.0.11	91		hòm	堪		꜀hòm	陰平					1/1	1/1
136.0.02.0.11	91		hòm	嵁		꜀hòm	陰平					1/1	1/1
136.0.03.0.11	91		hòm	龕		꜀hòm	陰平					1/1	1/1
136.0.04.0.11	91		hòm	憨		꜀hòm	陰平					1/1	1/1
136.0.05.0.11	91		hòm	含|唅		꜁hòm	陽平					1/1	1/1
136.0.06.0.11	91		hòm	酣		꜁hòm	陽平					1/1	1/1
136.0.07.0.11	91		hòm	坎		꜂hòm	陰上					1/1	1/1
136.0.08.0.11	91		hòm	扻		꜂hòm	陰上					1/1	1/1
136.0.09.0.11	92		hòm	砍		꜂hòm	陰上					1/1	1/1
136.0.09.1.11		717	hòm	轗		꜂hòm	陰上					1/1	1/1
136.0.10.0.11	92		hòm	頷		꜃hòm	陽上					1/1	1/1
136.0.11.0.11	92		hòm	勘		hòm꜄	陰去					1/1	1/1
136.0.12.0.11	92		hòm	墈		hòm꜄	陰去				原字模作「⿰山勘」	1/1	1/1
136.0.13.0.11	92		hòm	磡		hòm꜄	陰去					1/1	1/1
136.0.14.0.11	92		hòm	戡		hòm꜄	陰去					1/1	1/1
136.0.15.0.11	92		hòm	瞰|闞		hòm꜅	陽去					1/1	1/1
136.0.16.0.11	92		hòm	撼		hòm꜅	陽去					1/1	1/1
136.0.17.0.11	92		hòm	喊		hòm꜅	陽去					1/1	1/1
136.0.18.0.11	92		hòm	憾		hòm꜅	陽去					1/1	1/1
136.0.19.0.11	92		hòm	冚		hòm꜅	陽去					1/1	1/1
136.0.20.0.11	92		hòm	𩞿		hòm꜅	陽去					1/1	1/1
136.0.21.0.11	92		hòm	嵌		hòm꜅	陽去					1/1	1/1
137.0.01.0.11	92		hon	看|㸔		꜀hon	陰平					1/1	1/1
137.0.02.0.11	92		hon	韓		꜁hon	陽平					1/1	1/1
137.0.03.0.11	92		hon	寒		꜁hon	陽平					1/1	1/1
137.0.04.0.11	92		hon	邯		꜁hon	陽平					1/1	1/1
137.0.05.0.11	92		hon	鼾		꜁hon	陽平					1/1	1/1
137.0.06.0.11	93		hon	罕		꜂hon	陰上					1/1	1/1
137.0.07.0.11	93		hon	侃		꜂hon	陰上					1/1	1/1
137.0.08.0.11	93		hon	刊		꜂hon	陰上				書本作「刋」	1/1	1/1
137.0.09.0.11	93		hon	衎		꜂hon	陰上					1/1	1/1
137.0.10.0.11	93		hon	旱		꜃hon	陽上					1/1	1/1
137.0.11.0.11	93		hon	暵		꜃hon	陽上					1/1	1/1
137.0.12.0.11	93		hon	漢		hon꜄	陰去					1/1	1/1
137.0.13.0.11	93	717	hon	看		hon꜄	陰去					1/1	1/1
137.0.14.0.11	93		hon	悍		hon꜅	陽去					1/1	1/1
137.0.15.0.11	93		hon	捍		hon꜅	陽去					1/1	1/1
137.0.16.0.11	93		hon	扞		hon꜅	陽去					1/1	1/1
137.0.17.0.11	93		hon	汗		hon꜅	陽去					1/1	1/1
137.0.18.0.11	93		hon	旰		hon꜅	陽去					1/1	1/1
137.0.19.0.11	94		hon	豻		hon꜅	陽去					1/1	1/1
137.0.20.0.11	94		hon	釬		hon꜅	陽去					1/1	1/1
137.0.21.0.11	94		hon	閈		hon꜅	陽去					1/1	1/1
137.0.22.0.11	94		hon	翰		hon꜅	陽去					1/1	1/1
137.0.23.0.11	94		hon	澣		hon꜅	陽去					1/1	1/1
138.0.01.0.11	94		hong	康		꜀hong	陰平					1/1	1/1
138.0.02.0.11	94		hong	糠		꜀hong	陰平					1/1	1/1
138.0.03.0.11	94		hong	匡		꜀hong	陰平					1/1	1/1
138.0.04.0.11	94		hong	劻		꜀hong	陰平					1/1	1/1
138.0.05.0.11	94		hong	眶		꜀hong	陰平					1/1	1/1
138.0.06.0.11	94		hong	誆		꜀hong	陰平					1/1	1/1
138.0.07.0.11	94		hong	筐		꜀hong	陰平					1/1	1/1
138.0.08.0.11	94		hong	箜		꜀hong	陰平					1/1	1/1
138.0.09.0.11	94		hong	腔		꜀hong	陰平					1/1	1/1
138.0.10.0.11	94		hong	杭		꜁hong	陽平					1/1	1/1
138.0.11.0.11	94		hong	航		꜁hong	陽平					1/1	1/1
138.0.12.0.11	95		hong	降		꜁hong	陽平					1/1	1/1
138.0.13.0.11	95		hong	行		꜁hong	陽平					1/1	1/1
138.0.13.1.11		717	hong	頏		꜁hong	陽平					1/1	1/1
138.0.14.0.11	95		hong	炕		hong꜄	陰去					1/1	1/1
138.0.15.0.11	95		hong	巷		hong꜅	陽去					1/1	1/1
138.0.16.0.11	95		hong	項		hong꜅	陽去					1/1	1/1
139.0.01.0.11	95	717	hòp	合		hòp꜇	陽入					1/1	1/1
139.0.02.0.11	95		hòp	闔		hòp꜇	陽入					1/1	1/1
139.0.03.0.11	96		hòp	盍		hòp꜇	陽入					1/1	1/1
139.0.04.0.11	96		hòp	嗑		hòp꜇	陽入					1/1	1/1
139.0.05.0.11	96		hòp	盒		hòp꜇	陽入					1/1	1/1
139.0.06.0.11	96		hòp	磕		hòp꜇	陽入					1/1	1/1
140.0.01.0.11	96		hot	曷		hot꜆	陰入					1/1	1/1
140.0.02.0.11	96		hot	渴		hot꜆	陰入					1/1	1/1
140.0.03.0.11	96		hot	喝		hot꜆	陰入					1/1	1/1
140.0.04.0.11	96		hot	褐		hot꜆	陰入					1/1	1/1
140.0.05.0.11	96		hot	鶡		hot꜆	陰入					1/1	1/1
140.0.06.0.11	96		hot	毼		hot꜆	陰入					1/1	1/1
141.0.01.0.11	96		hü	虛	虚	꜀hü	陰平					1/1	1/1
141.0.02.0.11	96		hü	墟		꜀hü	陰平					1/1	1/1
141.0.03.0.11	97		hü	噓	嘘	꜀hü	陰平					1/1	1/1
141.0.04.0.11	97		hü	歔		꜀hü	陰平					1/1	1/1
141.0.05.0.11	97		hü	迂		꜀hü	陰平					1/1	1/1
141.0.06.0.11	97		hü	吁		꜀hü	陰平					1/1	1/1
141.0.07.0.11	97		hü	盱		꜀hü	陰平					1/1	1/1
141.0.08.0.11	97		hü	訏		꜀hü	陰平					1/1	1/1
141.0.09.0.11	97		hü	許		꜂hü	陰上					1/1	1/1
141.0.10.0.11	97		hü	詡		꜂hü	陰上					1/1	1/1
141.0.11.0.11	97		hü	栩		꜂hü	陰上					1/1	1/1
141.0.12.0.11	97		hü	冔		꜂hü	陰上				原字模右下作「寸」	1/1	1/1
141.0.13.0.11	97		hü	去		꜂hü	陰上					1/1	1/1
141.0.14.0.11	97	717	hü	去		hü꜄	陰去					1/1	1/1
142.0.01.0.11	97		hù	靴		꜀hù	陰平					1/1	1/1
142.0.02.0.11	97		hù	㗾		꜀hù	陰平					1/1	1/1
143.0.01.0.11	98		huk	曲		huk꜆	陰入					1/1	1/1
143.0.02.0.11	98		huk	哭		huk꜆	陰入					1/1	1/1
143.0.03.0.11	98		huk	勗		huk꜆	陰入					1/1	1/1
143.0.04.0.11	98		huk	旭		huk꜆	陰入					1/1	1/1
143.0.05.0.11	98		huk	頊		huk꜆	陰入					1/1	1/1
143.0.06.0.11	98		huk	酷		huk꜇	陽入					1/1	1/1
143.0.07.0.11	98		huk	斛		huk꜇	陽入					1/1	1/1
143.0.08.0.11	98		huk	觳		huk꜇	陽入					1/1	1/1
144.0.01.0.11	98		hün	喧|諠		꜀hün	陰平					1/1	1/1
144.0.02.0.11	98		hün	諼		꜀hün	陰平					1/1	1/1
144.0.03.0.11	98		hün	暄		꜀hün	陰平					1/1	1/1
144.0.04.0.11	98		hün	晅		꜀hün	陰平					1/1	1/1
144.0.05.0.11	98		hün	烜		꜀hün	陰平					1/1	1/1
144.0.06.0.11	98		hün	萱		꜀hün	陰平					1/1	1/1
144.0.07.0.11	98		hün	棬		꜀hün	陰平					1/1	1/1
144.0.08.0.11	98		hün	圈		꜀hün	陰平					1/1	1/1
144.0.09.0.11	99		hün	塤		꜀hün	陰平				原字模右上作「厶」	1/1	1/1
144.0.10.0.11	99		hün	儇		꜀hün	陰平					1/1	1/1
144.0.11.0.11	99		hün	犬		꜂hün	陰上					1/1	1/1
144.0.12.0.11	99		hün	畎		꜂hün	陰上					1/1	1/1
144.0.13.0.11	99		hün	勸|劝		hün꜄	陰去					1/1	1/1
144.0.14.0.11	99		hün	絢		hün꜄	陰去					1/1	1/1
144.0.15.0.11	99		hün	券		hün꜄	陰去					1/1	1/1
145.0.01.0.11	99		hung	空		꜀hung	陰平					1/1	1/1
145.0.02.0.11	99		hung	悾		꜀hung	陰平					1/1	1/1
145.0.03.0.11	99		hung	凶		꜀hung	陰平					1/1	1/1
145.0.04.0.11	100		hung	兇		꜀hung	陰平					1/1	1/1
145.0.05.0.11	100		hung	匈|胸		꜀hung	陰平					1/1	1/1
145.0.06.0.11	100		hung	洶		꜀hung	陰平					1/1	1/1
145.0.07.0.11	100		hung	崆		꜀hung	陰平					1/1	1/1
145.0.08.0.11	100		hung	紅		꜁hung	陽平					1/1	1/1
145.0.09.0.11	100		hung	洪		꜁hung	陽平					1/1	1/1
145.0.10.0.11	100		hung	鴻		꜁hung	陽平					1/1	1/1
145.0.11.0.11	100		hung	烘		꜁hung	陽平					1/1	1/1
145.0.12.0.11	100		hung	虹		꜁hung	陽平					1/1	1/1
145.0.13.0.11	100		hung	訌		꜁hung	陽平					1/1	1/1
145.0.14.0.11	100		hung	黌		꜁hung	陽平					1/1	1/1
145.0.15.0.11	101		hung	雄		꜁hung	陽平					1/1	1/1
145.0.16.0.11	101		hung	熊		꜁hung	陽平					1/1	1/1
145.0.17.0.11	101		hung	孔		꜂hung	陰上					1/1	1/1
145.0.18.0.11	101		hung	恐		꜂hung	陰上					1/1	1/1
145.0.19.0.11	101		hung	鬨	閧	hung꜄	陰去					1/1	1/1
145.0.20.0.11	101		hung	哄		hung꜄	陰去					1/1	1/1
145.0.21.0.11	101		hung	控		hung꜄	陰去					1/1	1/1
145.0.22.0.11	101		hung	鞚		hung꜄	陰去					1/1	1/1
145.0.23.0.11	101		hung	倥		hung꜄	陰去					1/1	1/1
145.0.24.0.11	101		hung	空		hung꜄	陰去					1/1	1/1
145.0.25.0.11	101		hung	汞		hung꜄	陰去					1/1	1/1
145.0.26.0.11	101		hung	○		hung꜅	陽去			A halo; [üt꜇ ꜃yau hung꜅] there is a halo round the moon		1/1	1/1
146.0.01.0.11	101		hüt	血		hüt꜆	陰入					1/1	1/1
146.0.02.0.11	102		hüt	闕		hüt꜆	陰入					1/1	1/1
146.0.03.0.11	102		hüt	缺		hüt꜆	陰入					1/1	1/1
146.0.04.0.11	102		hüt	觖		hüt꜆	陰入					1/1	1/1
147.0.01.0.11	102		hwé	○		꜀hwé	陰平			An exclamation; halloo, stop! [꜀hwé ꜃ní hü꜄ ꜀p‘ín] halloo! Where are you going?		1/1	1/1
148.0.01.0.11	102		í	衣		꜀í	陰平					1/1	1/1
148.0.02.0.11	102		í	依		꜀í	陰平					1/1	1/1
148.0.03.0.11	102		í	伊		꜀í	陰平					1/1	1/1
148.0.04.0.11	102		í	咿		꜀í	陰平					1/1	1/1
148.0.05.0.11	102		í	洢		꜀í	陰平					1/1	1/1
148.0.06.0.11	102		í	猗		꜀í	陰平					1/1	1/1
148.0.07.0.11	102		í	漪		꜀í	陰平					1/1	1/1
148.0.08.0.11	102		í	噫		꜀í	陰平					1/1	1/1
148.0.09.0.11	102		í	醫		꜀í	陰平					1/1	1/1
148.0.10.0.11	102		í	鷖		꜀í	陰平					1/1	1/1
148.0.11.0.11	102		í	兒		꜁í	陽平					1/1	1/1
148.0.12.0.11	103		í	唲		꜁í	陽平					1/1	1/1
148.0.13.0.11	103		í	而		꜁í	陽平					1/1	1/1
148.0.14.0.11	103		í	洏		꜁í	陽平					1/1	1/1
148.0.15.0.11	103		í	輀		꜁í	陽平					1/1	1/1
148.0.16.0.11	103		í	栭		꜁í	陽平					1/1	1/1
148.0.17.0.11	103		í	鮞		꜁í	陽平					1/1	1/1
148.0.18.0.11	103		í	宜		꜁í	陽平					1/1	1/1
148.0.19.0.11	103		í	疑		꜁í	陽平					1/1	1/1
148.0.20.0.11	103		í	嶷		꜁í	陽平					1/1	1/1
148.0.21.0.11	103		í	移		꜁í	陽平					1/1	1/1
148.0.22.0.11	103		í	扅		꜁í	陽平					1/1	1/1
148.0.23.0.11	103		í	栘		꜁í	陽平					1/1	1/1
148.0.24.0.11	103		í	彝		꜁í	陽平					1/1	1/1
148.0.25.0.11	103		í	訑		꜁í	陽平					1/1	1/1
148.0.26.0.11	104		í	貤		꜁í	陽平					1/1	1/1
148.0.27.0.11	104		í	匜		꜁í	陽平					1/1	1/1
148.0.28.0.11	104		í	頤		꜁í	陽平					1/1	1/1
148.0.29.0.11	104		í	沂		꜁í	陽平					1/1	1/1
148.0.30.0.11	104		í	儀		꜁í	陽平					1/1	1/1
148.0.31.0.11	104		í	夷		꜁í	陽平					1/1	1/1
148.0.32.0.11	104		í	洟		꜁í	陽平					1/1	1/1
148.0.33.0.11	104		í	姨		꜁í	陽平					1/1	1/1
148.0.34.0.11	104		í	痍		꜁í	陽平					1/1	1/1
148.0.35.0.11	104		í	怡		꜁í	陽平					1/1	1/1
148.0.36.0.11	104		í	詒		꜁í	陽平					1/1	1/1
148.0.37.0.11	104		í	貽		꜁í	陽平					1/1	1/1
148.0.38.0.11	105		í	飴		꜁í	陽平					1/1	1/1
148.0.39.0.11	105		í	圯		꜁í	陽平					1/1	1/1
148.0.39.1.11		717	í	椸		꜁í	陽平					1/1	1/1
148.0.40.0.11	105		í	倚		꜂í	陰上					1/1	1/1
148.0.41.0.11	105		í	綺		꜂í	陰上					1/1	1/1
148.0.42.0.11	105		í	錡		꜂í	陰上					1/1	1/1
