# 資料庫版本: 2021-08-01
編號	頁	字碼	字	(輔助檢索用異體)	異讀分類	欄位	義項	讀音類型	說明	粵拼讀音	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	增補讀音	經校訂修正	校訂註
1370	71	1156	幅			廣州話讀音欄		建議讀音		fuk1	f	uk	1	7			
1371	71	1157	帽		3.14.4 (122頁)	廣州話讀音欄		建議讀音		mou6	m	ou	6	6			
1372	71	1157	帽		3.14.4 (122頁)	備註欄		語		mou2	m	ou	2	2			
1373	72	1158	幀			廣州話讀音欄		建議讀音		zing3	z	ing	3	3			
1374	72	1159	幌			廣州話讀音欄		建議讀音		fong2	f	ong	2	2			
1375	72	1160	幛			廣州話讀音欄		建議讀音		zoeng3	z	oeng	3	3			
1376	72	1161	幣			廣州話讀音欄		建議讀音		bai6	b	ai	6	6			
1377	72	1162	幕			廣州話讀音欄		建議讀音		mok6	m	ok	6	9			
1378	72	1163	幗			廣州話讀音欄		建議讀音		gwok3	gw	ok	3	8			
1379	72	1164	幔			廣州話讀音欄		建議讀音		maan6	m	aan	6	6			
1380	72	1165	幢		8.01.1 (204頁)	廣州話讀音欄	1	建議讀音	幡幢	cong4	c	ong	4	4			
1381	72	1165	幢		8.01.1 (204頁)	廣州話讀音欄	2	建議讀音	一幢樓	zong6	z	ong	6	6			
1382	72	1165	幢		8.01.1 (204頁)	廣州話讀音欄	3	建議讀音	海幢寺	tong4	t	ong	4	4			
1383	72	1166	幟			廣州話讀音欄		建議讀音		ci3	c	i	3	3			
1384	72	1167	幫			廣州話讀音欄		建議讀音		bong1	b	ong	1	1			
1385	72	1168	干			廣州話讀音欄		建議讀音		gon1	g	on	1	1			
1386	72	1169	平		2.43.3 (87頁)	廣州話讀音欄		建議讀音		ping4	p	ing	4	4			
1387	72	1170	并	幷	3.17.4 (126頁); 8.02.2 (310頁)	廣州話讀音欄		建議讀音		bing6	b	ing	6	6			
1388	72	1170	并	幷	3.17.4 (126頁); 8.02.2 (310頁)	備註欄		又		bing3	b	ing	3	3			
1389	72	1170	并	幷	3.17.4 (126頁); 8.02.2 (310頁)	備註欄		專名讀音	(地名)并州	bing1	b	ing	1	1			
1390	72	1171	年			廣州話讀音欄		建議讀音		nin4	n	in	4	4			
1391	72	1172	幸			廣州話讀音欄		建議讀音		hang6	h	ang	6	6			
1392	72	1173	幹			廣州話讀音欄		建議讀音		gon3	g	on	3	3			
1393	72	1174	幺	么		廣州話讀音欄		建議讀音		jiu1	j	iu	1	1			
1394	72	1175	幻			廣州話讀音欄		建議讀音		waan6	w	aan	6	6			
1395	73	1176	幼			廣州話讀音欄		建議讀音		jau3	j	au	3	3			
1396	73	1177	幽			廣州話讀音欄		建議讀音		jau1	j	au	1	1			
1397	73	1178	幾			廣州話讀音欄	1	建議讀音	幾個	gei2	g	ei	2	2			
1398	73	1178	幾			廣州話讀音欄	2	建議讀音	幾乎	gei1	g	ei	1	1			
1399	73	1179	序			廣州話讀音欄		建議讀音		zeoi6	z	eoi	6	6			
1400	73	1180	庇			廣州話讀音欄		建議讀音		bei3	b	ei	3	3			
1401	73	1181	床			廣州話讀音欄		建議讀音		cong4	c	ong	4	4			
1402	73	1182	庚			廣州話讀音欄		建議讀音		gang1	g	ang	1	1			
1403	73	1183	店			廣州話讀音欄		建議讀音		dim3	d	im	3	3			
1404	73	1184	府			廣州話讀音欄		建議讀音		fu2	f	u	2	2			
1405	73	1185	底		8.02.1 (259頁)	廣州話讀音欄		建議讀音		dai2	d	ai	2	2			
1406	73	1186	庖			廣州話讀音欄		建議讀音		paau4	p	aau	4	4			
1407	73	1187	庠			廣州話讀音欄		建議讀音		coeng4	c	oeng	4	4			
1408	73	1188	度		8.01.1 (205頁)	廣州話讀音欄	1	建議讀音	度量衡	dou6	d	ou	6	6			
1409	73	1188	度		8.01.1 (205頁)	廣州話讀音欄	2	建議讀音	忖度	dok6	d	ok	6	9			
1410	73	1189	庫			廣州話讀音欄		建議讀音		fu3	f	u	3	3			
1411	73	1190	庭			廣州話讀音欄		建議讀音		ting4	t	ing	4	4			
1412	73	1191	座		8.02.1 (259頁)	廣州話讀音欄		建議讀音		zo6	z	o	6	6			
1413	73	1192	康			廣州話讀音欄		建議讀音		hong1	h	ong	1	1			
1414	73	1193	庸			廣州話讀音欄		建議讀音		jung4	j	ung	4	4			
1415	73	1194	庶			廣州話讀音欄		建議讀音		syu3	s	yu	3	3			
1416	73	1195	庵		1.01.1 (38頁)	廣州話讀音欄		建議讀音		am1		am	1	1			
1417	73	1196	庾		3.18.2 (127頁)	廣州話讀音欄		建議讀音		jyu4	j	yu	4	4			
1418	73	1196	庾		3.18.2 (127頁)	備註欄		又		jyu5	j	yu	5	5			
1419	74	1197	廊			廣州話讀音欄		建議讀音		long4	l	ong	4	4			
1420	74	1198	廂			廣州話讀音欄		建議讀音		soeng1	s	oeng	1	1			
1421	74	1199	廁	厠	8.02.1 (259頁)	廣州話讀音欄		建議讀音		ci3	c	i	3	3			
1422	74	1200	廉			廣州話讀音欄		建議讀音		lim4	l	im	4	4			
1423	74	1201	廈	厦		廣州話讀音欄		建議讀音		haa6	h	aa	6	6			
1424	74	1202	廓		1.22.2 (54頁)	廣州話讀音欄		建議讀音		kwok3	kw	ok	3	8			
1425	74	1202	廓		1.22.2 (54頁)	備註欄		又		gwok3	gw	ok	3	8			
1426	74	1203	廖			廣州話讀音欄		建議讀音		liu6	l	iu	6	6			
1427	74	1204	廢			廣州話讀音欄		建議讀音		fai3	f	ai	3	3			
1428	74	1205	廚	㕑|厨|𢊍	2.56.2 (97頁)	廣州話讀音欄		建議讀音		cyu4	c	yu	4	4			
1429	74	1205	廚	㕑|厨|𢊍	2.56.2 (97頁)	備註欄		語		ceoi4	c	eoi	4	4			
1430	74	1206	廟			廣州話讀音欄		建議讀音		miu6	m	iu	6	6			
1431	74	1207	廝			廣州話讀音欄		建議讀音		si1	s	i	1	1			
1432	74	1208	廣			廣州話讀音欄		建議讀音		gwong2	gw	ong	2	2			
1433	74	1209	廠	厰		廣州話讀音欄		建議讀音		cong2	c	ong	2	2			
1434	74	1210	龐	龎	8.02.1 (259頁)	廣州話讀音欄		建議讀音		pong4	p	ong	4	4			
1435	74	1211	廬			廣州話讀音欄		建議讀音		lou4	l	ou	4	4			
1436	74	1212	廳	㕔	2.43.1 (85頁)	廣州話讀音欄		建議讀音		teng1	t	eng	1	1			
1437	74	1213	廷			廣州話讀音欄		建議讀音		ting4	t	ing	4	4			
1438	74	1214	延			廣州話讀音欄		建議讀音		jin4	j	in	4	4			
1439	74	1215	建			廣州話讀音欄		建議讀音		gin3	g	in	3	3			
1440	74	1216	廿		4.20 (143頁)	廣州話讀音欄		建議讀音		jaa6	j	aa	6	6			
1441	74	1216	廿		4.20 (143頁)	備註欄		本		nim6	n	im	6	6			
1442	74	1217	弁		8.02.2 (310頁)	廣州話讀音欄		建議讀音		bin6	b	in	6	6			
1443	74	1217	弁		8.02.2 (310頁)	備註欄		古	小弁	pun4	p	un	4	4			
1444	75	1218	弄			廣州話讀音欄		建議讀音		lung6	l	ung	6	6			
1445	75	1219	弈			廣州話讀音欄		建議讀音		jik6	j	ik	6	9			
1446	75	1220	弊			廣州話讀音欄		建議讀音		bai6	b	ai	6	6			
1447	75	1221	式			廣州話讀音欄		建議讀音		sik1	s	ik	1	7			
1448	75	1222	弒	弑		廣州話讀音欄		建議讀音		si3	s	i	3	3			
1449	75	1223	弓			廣州話讀音欄		建議讀音		gung1	g	ung	1	1			
1450	75	1224	弔			廣州話讀音欄		建議讀音		diu3	d	iu	3	3			
1451	75	1225	引			廣州話讀音欄		建議讀音		jan5	j	an	5	5			
1452	75	1226	弘			廣州話讀音欄		建議讀音		wang4	w	ang	4	4			
1453	75	1227	弗			廣州話讀音欄		建議讀音		fat1	f	at	1	7			
1454	75	1228	弛		3.10.3 (115頁)	廣州話讀音欄		建議讀音		ci4	c	i	4	4			
1455	75	1229	弟		8.02.2 (310頁)	廣州話讀音欄		建議讀音		dai6	d	ai	6	6			
1456	75	1229	弟		8.02.2 (310頁)	備註欄		古	同悌	tai5	t	ai	5	5			
1457	75	1230	弦			廣州話讀音欄		建議讀音		jin4	j	in	4	4			
1458	75	1231	弧			廣州話讀音欄		建議讀音		wu4	w	u	4	4			
1459	75	1232	弩			廣州話讀音欄		建議讀音		nou5	n	ou	5	5			
1460	75	1233	弭		2.21.1 (74頁)	廣州話讀音欄		建議讀音		mai5	m	ai	5	5			
1461	75	1233	弭		2.21.1 (74頁)	備註欄		又		mei5	m	ei	5	5			
1462	75	1234	弱			廣州話讀音欄		建議讀音		joek6	j	oek	6	9			
1463	75	1235	張		8.02.2 (311頁)	廣州話讀音欄		建議讀音		zoeng1	z	oeng	1	1			
1464	75	1235	張		8.02.2 (311頁)	備註欄		古	夕張	zoeng3	z	oeng	3	3			
1465	75	1236	強	强	5.41 (157頁); 8.02.2 (311頁)	廣州話讀音欄	1	建議讀音	強壯	koeng4	k	oeng	4	4			
1466	75	1236	強	强	5.41 (157頁); 8.02.2 (311頁)	廣州話讀音欄	2	建議讀音	勉強，倔強	koeng5	k	oeng	5	5			
1467	75	1236	強	强	5.41 (157頁); 8.02.2 (311頁)	備註欄			倔強又讀	goeng6	g	oeng	6	6			
1468	76	1237	弼			廣州話讀音欄		建議讀音		bat6	b	at	6	9			
1469	76	1238	彆		3.23.4 (137頁)	廣州話讀音欄		建議讀音		bit6	b	it	6	9			
1470	76	1238	彆		3.23.4 (137頁)	備註欄		又		bit3	b	it	3	8			
1471	76	1239	彈		8.01.2 (234頁)	廣州話讀音欄	1	建議讀音	彈丸	daan6	d	aan	6	6			
1472	76	1239	彈		8.01.2 (234頁)	廣州話讀音欄	2	建議讀音	彈劾	taan4	t	aan	4	4			
1473	76	1239	彈		8.01.2 (234頁)	備註欄		語	炸彈	daan2	d	aan	2	2			
1474	76	1240	彌		1.33.2 (58頁)	廣州話讀音欄		建議讀音		nei4	n	ei	4	4			
1475	76	1240	彌		1.33.2 (58頁)	備註欄		又		mei4	m	ei	4	4			
1476	76	1241	彎			廣州話讀音欄		建議讀音		waan1	w	aan	1	1			
1477	76	1242	彗		4.33 (146頁)	廣州話讀音欄		建議讀音		seoi6	s	eoi	6	6			
1478	76	1243	彙	彚	4.30 (145頁)	廣州話讀音欄		建議讀音		wai6	w	ai	6	6			
1479	76	1243	彙	彚	4.30 (145頁)	備註欄		又		wui6	w	ui	6	6			
1480	76	1243	彙	彚	4.30 (145頁)	備註欄		又		leoi6	l	eoi	6	6			
1481	76	1244	彝	彞		廣州話讀音欄		建議讀音		ji4	j	i	4	4			
1482	76	1245	形			廣州話讀音欄		建議讀音		jing4	j	ing	4	4			
1483	76	1246	彤			廣州話讀音欄		建議讀音		tung4	t	ung	4	4			
1484	76	1247	彥	彦		廣州話讀音欄		建議讀音		jin6	j	in	6	6			
1485	76	1248	彬			廣州話讀音欄		建議讀音		ban1	b	an	1	1			
1486	76	1249	彩			廣州話讀音欄		建議讀音		coi2	c	oi	2	2			
1487	76	1250	彫		1.09.1 (45頁)	廣州話讀音欄		建議讀音		diu1	d	iu	1	1			
1488	76	1250	彫		1.09.1 (45頁)	備註欄		又		tiu1	t	iu	1	1			
1489	76	1251	彭			廣州話讀音欄		建議讀音		paang4	p	aang	4	4			
1490	76	1252	彰			廣州話讀音欄		建議讀音		zoeng1	z	oeng	1	1			
1491	76	1253	影		2.43.3 (87頁)	廣州話讀音欄		建議讀音		jing2	j	ing	2	2			
1492	76	1254	彷		8.01.1 (205頁)	廣州話讀音欄	1	建議讀音	彷彿	fong2	f	ong	2	2			
1493	76	1254	彷		8.01.1 (205頁)	廣州話讀音欄	2	建議讀音	彷徨	pong4	p	ong	4	4			
1494	77	1255	役			廣州話讀音欄		建議讀音		jik6	j	ik	6	9			
1495	77	1256	往			廣州話讀音欄		建議讀音		wong5	w	ong	5	5			
1496	77	1257	征			廣州話讀音欄		建議讀音		zing1	z	ing	1	1			
1497	77	1258	彿			廣州話讀音欄		建議讀音		fat1	f	at	1	7			
1498	77	1259	彼			廣州話讀音欄		建議讀音		bei2	b	ei	2	2			
1499	77	1260	很			廣州話讀音欄		建議讀音		han2	h	an	2	2			
1500	77	1261	待		8.02.1 (260頁)	廣州話讀音欄		建議讀音		doi6	d	oi	6	6			
1501	77	1262	律			廣州話讀音欄		建議讀音		leot6	l	eot	6	9			
1502	77	1263	徊			廣州話讀音欄		建議讀音		wui4	w	ui	4	4			
1503	77	1264	徇		3.06.1 (110頁)	廣州話讀音欄		建議讀音		seon1	s	eon	1	1			
1504	77	1265	後			廣州話讀音欄		建議讀音		hau6	h	au	6	6			
1505	77	1266	徒			廣州話讀音欄		建議讀音		tou4	t	ou	4	4			
1506	77	1267	徑		3.17.1 (124頁)	廣州話讀音欄		建議讀音		ging3	g	ing	3	3			
1507	77	1268	徐			廣州話讀音欄		建議讀音		ceoi4	c	eoi	4	4			
1508	77	1269	得			廣州話讀音欄		建議讀音		dak1	d	ak	1	7			
1509	77	1270	徙			廣州話讀音欄		建議讀音		saai2	s	aai	2	2			
1510	77	1271	徘			廣州話讀音欄		建議讀音		pui4	p	ui	4	4			
1511	77	1272	從		5.29 (154頁); 8.01.2 (235頁)	廣州話讀音欄	1	建議讀音	服從	cung4	c	ung	4	4			
1512	77	1272	從		5.29 (154頁); 8.01.2 (235頁)	廣州話讀音欄	2	建議讀音	從容	sung1	s	ung	1	1			
1513	77	1272	從		5.29 (154頁); 8.01.2 (235頁)	廣州話讀音欄	3	建議讀音	主從	zung6	z	ung	6	6			
1514	77	1272	從		5.29 (154頁); 8.01.2 (235頁)	備註欄		古	從橫	zung1	z	ung	1	1			
1515	77	1273	御		8.02.2 (311頁)	廣州話讀音欄		建議讀音		jyu6	j	yu	6	6			
1516	77	1273	御		8.02.2 (311頁)	備註欄			百輛御之	ngaa6	ng	aa	6	6			
1517	78	1274	復		8.01.1 (205頁)	廣州話讀音欄	1	建議讀音	復仇	fuk6	f	uk	6	9			
1518	78	1274	復		8.01.1 (205頁)	廣州話讀音欄	2	建議讀音	回復	fuk1	f	uk	1	7			
1519	78	1274	復		8.01.1 (205頁)	廣州話讀音欄	3	建議讀音	不復回	fau6	f	au	6	6			
1520	78	1275	循			廣州話讀音欄		建議讀音		ceon4	c	eon	4	4			
1521	78	1276	徨			廣州話讀音欄		建議讀音		wong4	w	ong	4	4			
1522	78	1277	徬		8.02.1 (260頁)	廣州話讀音欄		建議讀音		pong4	p	ong	4	4			
1523	78	1278	微			廣州話讀音欄		建議讀音		mei4	m	ei	4	4			
1524	78	1279	徹			廣州話讀音欄		建議讀音		cit3	c	it	3	8			
1525	78	1280	德	徳		廣州話讀音欄		建議讀音		dak1	d	ak	1	7			
1526	78	1281	徵	徴	8.01.1 (206頁)	廣州話讀音欄	1	建議讀音	徵求	zing1	z	ing	1	1			
1527	78	1281	徵	徴	8.01.1 (206頁)	廣州話讀音欄	2	建議讀音	宮商角徵羽	zi2	z	i	2	2			
1528	78	1282	徽			廣州話讀音欄		建議讀音		fai1	f	ai	1	1			
1529	78	1283	心			廣州話讀音欄		建議讀音		sam1	s	am	1	1			
1530	78	1284	必			廣州話讀音欄		建議讀音		bit1	b	it	1	7			
1531	78	1285	忙			廣州話讀音欄		建議讀音		mong4	m	ong	4	4			
1532	78	1286	忖			廣州話讀音欄		建議讀音		cyun2	c	yun	2	2			
1533	78	1287	忘		3.19.1 (129頁)	廣州話讀音欄		建議讀音		mong4	m	ong	4	4			
1534	78	1288	忌			廣州話讀音欄		建議讀音		gei6	g	ei	6	6			
1535	78	1289	志			廣州話讀音欄		建議讀音		zi3	z	i	3	3			
1536	78	1290	忍		3.11.2 (117頁)	廣州話讀音欄		建議讀音		jan2	j	an	2	2			
1537	78	1290	忍		3.11.2 (117頁)	備註欄		又		jan5	j	an	5	5			
1538	78	1291	忱			廣州話讀音欄		建議讀音		sam4	s	am	4	4			
1539	78	1292	快			廣州話讀音欄		建議讀音		faai3	f	aai	3	3			
1540	78	1293	忝		3.11.1 (117頁)	廣州話讀音欄		建議讀音		tim2	t	im	2	2			
1541	78	1294	忠			廣州話讀音欄		建議讀音		zung1	z	ung	1	1			
1542	79	1295	忽			廣州話讀音欄		建議讀音		fat1	f	at	1	7			
1543	79	1296	念			廣州話讀音欄		建議讀音		nim6	n	im	6	6			
1544	79	1297	忿			廣州話讀音欄		建議讀音		fan5	f	an	5	5			
1545	79	1298	怔			廣州話讀音欄		建議讀音		zing1	z	ing	1	1			
1546	79	1299	怯			廣州話讀音欄		建議讀音		hip3	h	ip	3	8			
1547	79	1300	怵			廣州話讀音欄		建議讀音		zeot1	z	eot	1	7			
1548	79	1301	怖			廣州話讀音欄		建議讀音		bou3	b	ou	3	3			
1549	79	1302	怪			廣州話讀音欄		建議讀音		gwaai3	gw	aai	3	3			
1550	79	1303	怏		3.07.1 (112頁)	廣州話讀音欄		建議讀音		joeng2	j	oeng	2	2			
1551	79	1303	怏		3.07.1 (112頁)	備註欄		又		joeng3	j	oeng	3	3			
1552	79	1304	怕			廣州話讀音欄		建議讀音		paa3	p	aa	3	3			
1553	79	1305	性			廣州話讀音欄		建議讀音		sing3	s	ing	3	3			
1554	79	1306	怡			廣州話讀音欄		建議讀音		ji4	j	i	4	4			
1555	79	1307	思		8.01.1 (206頁)	廣州話讀音欄	1	建議讀音	思想	si1	s	i	1	1			
1556	79	1307	思		8.01.1 (206頁)	廣州話讀音欄	2	建議讀音	意思	si3	s	i	3	3			
1557	79	1307	思		8.01.1 (206頁)	廣州話讀音欄	3	建議讀音	于思	soi1	s	oi	1	1			
1558	79	1308	怒			廣州話讀音欄		建議讀音		nou6	n	ou	6	6			
1559	79	1309	怠		5.15 (150頁)	廣州話讀音欄		建議讀音		toi5	t	oi	5	5			
1560	79	1309	怠		5.15 (150頁)	備註欄		又		doi6	d	oi	6	6			
1561	79	1310	急			廣州話讀音欄		建議讀音		gap1	g	ap	1	7			
1562	79	1311	怎		4.07 (139頁)	廣州話讀音欄		建議讀音		zam2	z	am	2	2			
1563	79	1312	怨			廣州話讀音欄		建議讀音		jyun3	j	yun	3	3			
1564	79	1313	恨			廣州話讀音欄		建議讀音		han6	h	an	6	6			
1565	79	1314	恢			廣州話讀音欄		建議讀音		fui1	f	ui	1	1			
1566	79	1315	恆	恒		廣州話讀音欄		建議讀音		hang4	h	ang	4	4			
1567	79	1316	恃		1.35.3 (60頁)	廣州話讀音欄		建議讀音		ci5	c	i	5	5			
1568	79	1317	恬			廣州話讀音欄		建議讀音		tim4	t	im	4	4			
1569	79	1318	恍			廣州話讀音欄		建議讀音		fong2	f	ong	2	2			
1570	80	1319	恫		8.01.1 (206頁)	廣州話讀音欄	1	建議讀音	恫嚇	dung6	d	ung	6	6			
1571	80	1319	恫		8.01.1 (206頁)	廣州話讀音欄	2	建議讀音	恫瘝乃身	tung1	t	ung	1	1			
1572	80	1320	恰		7.04 (176頁)	廣州話讀音欄		建議讀音		hap1	h	ap	1	7			
1573	80	1321	恪			廣州話讀音欄		建議讀音		kok3	k	ok	3	8			
1574	80	1322	恤			廣州話讀音欄		建議讀音		seot1	s	eot	1	7			
1575	80	1323	恙			廣州話讀音欄		建議讀音		joeng6	j	oeng	6	6			
1576	80	1324	恣		8.01.2 (235頁)	廣州話讀音欄	1	建議讀音	恣意	zi3	z	i	3	3			
1577	80	1324	恣		8.01.2 (235頁)	廣州話讀音欄	2	建議讀音	恣睢	zi1	z	i	1	1			
1578	80	1325	恥			廣州話讀音欄		建議讀音		ci2	c	i	2	2			
1579	80	1326	恐			廣州話讀音欄		建議讀音		hung2	h	ung	2	2			
1580	80	1327	恭			廣州話讀音欄		建議讀音		gung1	g	ung	1	1			
1581	80	1328	恩			廣州話讀音欄		建議讀音		jan1	j	an	1	1			
1582	80	1329	恕			廣州話讀音欄		建議讀音		syu3	s	yu	3	3			
1583	80	1330	息		8.02.1 (260頁)	廣州話讀音欄		建議讀音		sik1	s	ik	1	7			
1584	80	1331	悌		8.01.1 (206頁)	廣州話讀音欄	1	建議讀音	愷悌	tai5	t	ai	5	5			
1585	80	1331	悌		8.01.1 (206頁)	廣州話讀音欄	2	建議讀音	同弟	dai6	d	ai	6	6			
1586	80	1332	悅	悦		廣州話讀音欄		建議讀音		jyut6	j	yut	6	9			
1587	80	1333	悟			廣州話讀音欄		建議讀音		ng6		ng	6	6			
1588	80	1334	悖		3.17.3 (125頁)	廣州話讀音欄		建議讀音		bui6	b	ui	6	6			
1589	80	1335	悚			廣州話讀音欄		建議讀音		sung2	s	ung	2	2			
1590	80	1336	悍		3.20.2 (133頁)	廣州話讀音欄		建議讀音		hon5	h	on	5	5			
1591	80	1336	悍		3.20.2 (133頁)	備註欄		又		hon6	h	on	6	6			
1592	80	1337	悄			廣州話讀音欄		建議讀音		ciu2	c	iu	2	2			
1593	80	1338	悔			廣州話讀音欄		建議讀音		fui3	f	ui	3	3			
1594	80	1339	恿			廣州話讀音欄		建議讀音		jung2	j	ung	2	2			
1595	80	1340	患			廣州話讀音欄		建議讀音		waan6	w	aan	6	6			
1596	81	1341	悉			廣州話讀音欄		建議讀音		sik1	s	ik	1	7			
1597	81	1342	悠			廣州話讀音欄		建議讀音		jau4	j	au	4	4			
1598	81	1343	您			廣州話讀音欄		建議讀音		nei5	n	ei	5	5			
1599	81	1344	惋		4.26 (144頁)	廣州話讀音欄		建議讀音		jyun2	j	yun	2	2			
1600	81	1345	悴			廣州話讀音欄		建議讀音		seoi6	s	eoi	6	6			
1601	81	1346	惦			廣州話讀音欄		建議讀音		dim3	d	im	3	3			
1602	81	1347	悽			廣州話讀音欄		建議讀音		cai1	c	ai	1	1			
1603	81	1348	情			廣州話讀音欄		建議讀音		cing4	c	ing	4	4			
1604	81	1349	悻		3.20.3 (133頁)	廣州話讀音欄		建議讀音		hang6	h	ang	6	6			
1605	81	1350	悵		1.13.4 (49頁)	廣州話讀音欄		建議讀音		coeng3	c	oeng	3	3			
1606	81	1350	悵		1.13.4 (49頁)	備註欄		又		zoeng3	z	oeng	3	3			
1607	81	1351	惜			廣州話讀音欄		建議讀音		sik1	s	ik	1	7			
1608	81	1352	悼			廣州話讀音欄		建議讀音		dou6	d	ou	6	6			
1609	81	1353	惘			廣州話讀音欄		建議讀音		mong5	m	ong	5	5			
1610	81	1354	惕			廣州話讀音欄		建議讀音		tik1	t	ik	1	7			
1611	81	1355	惆			廣州話讀音欄		建議讀音		cau4	c	au	4	4			
1612	81	1356	惟			廣州話讀音欄		建議讀音		wai4	w	ai	4	4			
1613	81	1357	悸			廣州話讀音欄		建議讀音		gwai3	gw	ai	3	3			
1614	81	1358	惚			廣州話讀音欄		建議讀音		fat1	f	at	1	7			
1615	81	1359	惑			廣州話讀音欄		建議讀音		waak6	w	aak	6	9			
1616	81	1360	惡		1.01.1 (38頁); 8.01.2 (236頁)	廣州話讀音欄	1	建議讀音	惡霸、惡心	ok3		ok	3	8			
1617	81	1360	惡		1.01.1 (38頁); 8.01.2 (236頁)	廣州話讀音欄	2	建議讀音	可惡	wu3	w	u	3	3			
1618	81	1360	惡		1.01.1 (38頁); 8.01.2 (236頁)	廣州話讀音欄	3	建議讀音	惡可乎	wu1	w	u	1	1			
1619	81	1361	惠	恵		廣州話讀音欄		建議讀音		wai6	w	ai	6	6			
1620	81	1362	悶			廣州話讀音欄		建議讀音		mun6	m	un	6	6			
1621	82	1363	悲			廣州話讀音欄		建議讀音		bei1	b	ei	1	1			
1622	82	1364	愜		3.23.2 (136頁)	廣州話讀音欄		建議讀音		hip3	h	ip	3	8			
1623	82	1364	愜		3.23.2 (136頁)	備註欄		又		hip6	h	ip	6	9			
1624	82	1365	惰			廣州話讀音欄		建議讀音		do6	d	o	6	6			
1625	82	1366	慨		3.07.2 (113頁)	廣州話讀音欄		建議讀音		koi3	k	oi	3	3			
1626	82	1367	愣		3.19.3 (131頁)	廣州話讀音欄		建議讀音		ling6	l	ing	6	6			
1627	82	1368	惺		8.02.1 (260頁)	廣州話讀音欄		建議讀音		sing1	s	ing	1	1			
1628	82	1369	愕			廣州話讀音欄		建議讀音		ngok6	ng	ok	6	9			
1629	82	1370	惻		2.07.3 (65頁)	廣州話讀音欄		建議讀音		cak1	c	ak	1	7			
1630	82	1370	惻		2.07.3 (65頁)	備註欄		又		caak1	c	aak	1	7			
1631	82	1371	惴		7.27 (183頁)	廣州話讀音欄		建議讀音		zeoi3	z	eoi	3	3			
1632	82	1372	慍	愠	3.07.2 (113頁)	廣州話讀音欄		建議讀音		wan3	w	an	3	3			
1633	82	1373	惱			廣州話讀音欄		建議讀音		nou5	n	ou	5	5			
1634	82	1374	愎		4.04 (138頁)	廣州話讀音欄		建議讀音		bik1	b	ik	1	7			
1635	82	1375	惶			廣州話讀音欄		建議讀音		wong4	w	ong	4	4			
1636	82	1376	愉			廣州話讀音欄		建議讀音		jyu4	j	yu	4	4			
1637	82	1377	愀			廣州話讀音欄		建議讀音		ciu2	c	iu	2	2			
1638	82	1378	意			廣州話讀音欄		建議讀音		ji3	j	i	3	3			
1639	82	1379	慈			廣州話讀音欄		建議讀音		ci4	c	i	4	4			
1640	82	1380	想			廣州話讀音欄		建議讀音		soeng2	s	oeng	2	2			
1641	82	1381	惹			廣州話讀音欄		建議讀音		je5	j	e	5	5			
1642	82	1382	愚			廣州話讀音欄		建議讀音		jyu4	j	yu	4	4			
1643	82	1383	感			廣州話讀音欄		建議讀音		gam2	g	am	2	2			
1644	82	1384	愛		1.01.1 (39頁)	廣州話讀音欄		建議讀音		oi3		oi	3	3			
1645	82	1385	愁			廣州話讀音欄		建議讀音		sau4	s	au	4	4			
1646	82	1386	愈			廣州話讀音欄		建議讀音		jyu6	j	yu	6	6			
1647	82	1387	慎	愼		廣州話讀音欄		建議讀音		san6	s	an	6	6			
1648	83	1388	慌			廣州話讀音欄		建議讀音		fong1	f	ong	1	1			
1649	83	1389	慄			廣州話讀音欄		建議讀音		leot6	l	eot	6	9			
1650	83	1390	愾		8.02.1 (260頁)	廣州話讀音欄		建議讀音		koi3	k	oi	3	3			
1651	83	1391	愴			廣州話讀音欄		建議讀音		cong3	c	ong	3	3			
1652	83	1392	愧			廣州話讀音欄		建議讀音		kwai3	kw	ai	3	3			
1653	83	1393	愿			廣州話讀音欄		建議讀音		jyun6	j	yun	6	6			
1654	83	1394	慇			廣州話讀音欄		建議讀音		jan1	j	an	1	1			
1655	83	1395	態			廣州話讀音欄		建議讀音		taai3	t	aai	3	3			
1656	83	1396	慷		7.46 (188頁)	廣州話讀音欄		建議讀音		hong2	h	ong	2	2			
1657	83	1396	慷		7.46 (188頁)	備註欄		又		kong2	k	ong	2	2			
1658	83	1397	慚			廣州話讀音欄		建議讀音		caam4	c	aam	4	4			
1659	83	1398	慢			廣州話讀音欄		建議讀音		maan6	m	aan	6	6			
1660	83	1399	慣			廣州話讀音欄		建議讀音		gwaan3	gw	aan	3	3			
1661	83	1400	慟			廣州話讀音欄		建議讀音		dung6	d	ung	6	6			
1662	83	1401	慘	惨		廣州話讀音欄		建議讀音		caam2	c	aam	2	2			
1663	83	1402	慶		8.02.1 (260頁)	廣州話讀音欄		建議讀音		hing3	h	ing	3	3			
1664	83	1403	慧			廣州話讀音欄		建議讀音		wai6	w	ai	6	6			
1665	83	1404	慝		1.34.1 (59頁)	廣州話讀音欄		建議讀音		tik1	t	ik	1	7			
1666	83	1405	慕			廣州話讀音欄		建議讀音		mou6	m	ou	6	6			
1667	83	1406	憂			廣州話讀音欄		建議讀音		jau1	j	au	1	1			
1668	83	1407	慰			廣州話讀音欄		建議讀音		wai3	w	ai	3	3			
1669	83	1408	慮		8.02.1 (261頁)	廣州話讀音欄		建議讀音		leoi6	l	eoi	6	6			
